,id,pl,uk,false_friends,predictions,similarity_values
0,1,śniadanie,сніданок,0,1,0.8235294117647058
1,2,wegetarianin,вегетаріанський,0,1,0.8
2,3,napój,напій,0,1,0.5454545454545454
3,4,kawa,кава,0,1,1.0
4,5,sok,сік,0,1,0.6666666666666666
5,6,woda,вода,0,1,1.0
6,7,piwo,пиво,0,1,1.0
7,8,wino,вино,0,1,1.0
8,9,sól,сіль,0,1,0.6666666666666666
9,10,mięso,м’ясо,0,1,0.6
10,11,ryba,риба,0,1,0.75
11,12,deser,десерт,0,1,0.9090909090909091
12,13,czas,час,0,1,1.0
13,14,godzina,година,0,1,0.9230769230769231
14,15,rano,ранок,0,1,0.6666666666666666
15,16,dzień,день,0,1,0.75
16,17,wczoraj,вчора,0,1,0.9230769230769231
17,18,tydzień,тиждень,0,1,0.6153846153846154
18,19,miesiąc,місяць,0,1,0.7692307692307693
19,20,rok,рік,0,1,0.6666666666666666
20,21,poniedziałek,понеділок,0,1,0.8571428571428571
21,22,wtorek,вівторок,0,1,0.8571428571428571
22,23,środa,середа,0,1,0.7272727272727273
23,24,czwartek,четвер,0,1,0.4
24,25,piątek,п’ятниця,0,1,0.42857142857142855
25,26,sobota,субота,0,1,0.8333333333333334
26,27,niedziela,неділя,0,1,0.8
27,28,styczeń,січень,0,1,0.7692307692307693
28,29,luty,лютий,0,1,1.0
29,30,kwiecień,квітень,0,1,0.42857142857142855
30,31,czerwiec,червень,0,1,0.8
31,32,lipiec,липень,0,1,0.7272727272727273
32,33,sierpień,серпня,0,1,0.7142857142857143
33,34,wrzesień,вересень,0,1,0.9333333333333333
34,35,listopad,листопад,0,1,1.0
35,36,grudzień,грудень,0,1,0.8571428571428571
36,37,wiosna,весна,0,1,0.7272727272727273
37,38,lato,літо,0,1,0.75
38,39,jesień,осінь,0,1,0.6
39,40,tak,так,0,1,1.0
40,41,dziękuję,дякую,0,1,0.46153846153846156
41,42,przepraszam,перепрошую,0,1,0.7272727272727273
42,43,dobranoc,добраніч,0,1,0.8235294117647058
