,id,pl,uk,false_friends
0,1,śniadanie,сніданок,0
1,2,wegetarianin,вегетаріанський,0
2,3,napój,напій,0
3,4,kawa,кава,0
4,5,sok,сік,0
5,6,woda,вода,0
6,7,piwo,пиво,0
7,8,wino,вино,0
8,9,sól,сіль,0
9,10,mięso,м’ясо,0
10,11,ryba,риба,0
11,12,deser,десерт,0
12,13,czas,час,0
13,14,godzina,година,0
14,15,rano,ранок,0
15,16,dzień,день,0
16,17,wczoraj,вчора,0
17,18,tydzień,тиждень,0
18,19,miesiąc,місяць,0
19,20,rok,рік,0
20,21,poniedziałek,понеділок,0
21,22,wtorek,вівторок,0
22,23,środa,середа,0
23,24,czwartek,четвер,0
24,25,piątek,п’ятниця,0
25,26,sobota,субота,0
26,27,niedziela,неділя,0
27,28,styczeń,січень,0
28,29,luty,лютий,0
29,30,kwiecień,квітень,0
30,31,czerwiec,червень,0
31,32,lipiec,липень,0
32,33,sierpień,серпня,0
33,34,wrzesień,вересень,0
34,35,listopad,листопад,0
35,36,grudzień,грудень,0
36,37,wiosna,весна,0
37,38,lato,літо,0
38,39,jesień,осінь,0
39,40,tak,так,0
40,41,dziękuję,дякую,0
41,42,przepraszam,перепрошую,0
42,43,dobranoc,добраніч,0
43,44,ja,я,0
44,45,my,ми,0
45,46,ty,ти,0
46,47,wy,ви,0
47,48,oni,вони,0
48,49,dobrze,добре,0
49,50,syn,син,0
50,51,pociąg,потяг,0
51,52,autobus,автобус,0
52,53,metro,метро,0
53,54,paszport,паспорт,0
54,55,daleko,далеко,0
55,56,blisko,близько,0
56,57,jeden,один,0
57,58,dwa,два,0
58,59,trzy,три,0
59,60,cztery,чотири,0
60,61,pięć,п’ять,0
61,62,sześć,шість,0
62,63,siedem,сім,0
63,64,osiem,вісім,0
64,65,dziewięć,дев’ять,0
65,66,dziesięć,десять,0
66,67,jedenaście,одинадцять,0
67,68,dwanaście,дванадцять,0
68,69,trzynaście,тринадцять,0
69,70,czternaście,чотирнадцять,0
70,71,piętnaście,п’ятнадцять,0
71,72,szesnaście,шістнадцять,0
72,73,siedemnaście,сімнадцять,0
73,74,osiemnaście,вісімнадцять,0
74,75,dziewiętnaście,дев’ятнадцять,0
75,76,dwadzieścia,двадцять,0
76,77,trzydzieści,тридцять,0
77,78,pięćdziesiąt,п’ятдесят,0
78,79,sześćdziesiąt,шістдесят,0
79,80,siedemdziesiąt,сімдесят,0
80,81,osiemdziesiąt,вісімдесят,0
81,82,sto,сто,0
82,83,dwieście,двісті,0
83,84,trzysta,триста,0
84,85,czterysta,чотириста,0
85,86,pięćset,п’ятсот,0
86,87,tysiąc,тисяча,0
87,88,milion,мільйон,0
88,89,mleko,молоко,0
89,90,słońce,сонце,0
90,91,rzeka,ріка,0
91,92,drzewo,дерево,0
92,93,woda,вода,0
93,94,chleb,хліб,0
94,95,noc,ніч,0
95,96,kot,кіт,0
96,97,most,міст,0
97,98,szkoła,школа,0
98,99,stół,стіл,0
99,100,ulica,вулиця,0
100,101,miasto,місто ,0
101,102,dom,дім ,0
102,103,ręka,рука ,0
103,104,kwiat,квітка ,0
104,105,muzyka,музика ,0
105,106,hotel,готель,0
106,107,być,бути,0
107,108,robić,робити,0
108,109,mówić,мовити,0
109,110,chodzić,ходити,0
110,111,jeść,їсти,0
111,112,pić,пити,0
112,113,pisać,писати,0
113,114,czytać,читати,0
114,115,rozumieć,розуміти,0
115,116,uczyć się,вчитися,0
116,117,pracować,працювати,0
117,118,słuchać,слухати,0
118,119,znać,знати,0
119,120,kupować,купувати,0
120,121,sprzedawać,продавати,0
121,122,rozpoczynać,розпочинати,0
122,123,podróżować,подорожувати,0
123,124,zapraszać,запрошувати,0
124,125,odpowiadać,відповідати,0
125,126,pytać,питати,0
126,127,przychodzić,приходити,0
127,128,odwiedzać,відвідувати),0
128,129,szukać,шукати,0
129,130,dzwonić,дзвонити,0
130,131,śpiewać,співати,0
131,132,tańczyć,танцювати,0
132,133,gotować,готувати,0
133,134,grać,грати,0
134,135,śmiać się,сміятися,0
135,136,myć,мити,0
136,137,farbować,фарбувати,0
137,138,budować,будувати,0
138,139,chodzić,ходити,0
139,140,spać,спати,0
140,141,wstawać,вставати,0
141,142,siedzieć,сидіти,0
142,143,mały,малий,0
143,144,nowy,новий,0
144,145,stary,старий,0
145,146,świeży,свіжий,0
146,147,gorący,гарячий,0
147,148,wysoki,високий,0
148,149,niski,низький,0
149,150,silny,сильний,0
150,151,słaby,слабкий,0
151,152,powolny,повільний,0
152,153,szczęśliwy,щасливий,0
153,154,dobry,добрий,0
154,155,ciepły,теплий,0
155,156,ciężki,тяжкий,0
156,157,jasny,ясний,0
157,158,ciemny,темний,0
158,159,cienki,тонкий,0
159,160,brudny,брудний,0
160,161,smaczny,смачний,0
161,162,zdrowy,здоровий,0
162,163,chory,хворий,0
163,164,młody,молодий,0
164,165,oko,око,0
165,166,serce,серце,0
166,167,książka,книга,0
167,168,strona,сторінка,0
168,169,nocleg,нічліг,0
169,170,dziecko,дитятко,0
170,171,wiek,вік,0
