,Unnamed: 0,id,pl,uk,false_friends,predictions
0,0,1,śniadanie,сніданок,0,1
1,1,2,wegetarianin,вегетаріанський,0,1
2,2,3,napój,напій,0,1
3,3,4,kawa,кава,0,1
4,4,5,sok,сік,0,1
5,5,6,woda,вода,0,1
6,6,7,piwo,пиво,0,1
7,7,8,wino,вино,0,1
8,8,9,sól,сіль,0,1
9,9,10,mięso,м’ясо,0,1
10,10,11,ryba,риба,0,1
11,11,12,deser,десерт,0,1
12,12,13,czas,час,0,1
13,13,14,godzina,година,0,1
14,14,15,rano,ранок,0,1
15,15,16,dzień,день,0,1
16,16,17,wczoraj,вчора,0,1
17,17,18,tydzień,тиждень,0,1
18,18,19,miesiąc,місяць,0,1
19,19,20,rok,рік,0,1
20,20,21,poniedziałek,понеділок,0,1
21,21,22,wtorek,вівторок,0,1
22,22,23,środa,середа,0,1
23,23,24,czwartek,четвер,0,1
24,24,25,piątek,п’ятниця,0,1
25,25,26,sobota,субота,0,1
26,26,27,niedziela,неділя,0,1
27,27,28,styczeń,січень,0,1
28,28,29,luty,лютий,0,1
29,29,30,kwiecień,квітень,0,1
30,30,31,czerwiec,червень,0,1
31,31,32,lipiec,липень,0,1
32,32,33,sierpień,серпня,0,1
33,33,34,wrzesień,вересень,0,1
34,34,35,listopad,листопад,0,1
35,35,36,grudzień,грудень,0,1
36,36,37,wiosna,весна,0,1
37,37,38,lato,літо,0,1
38,38,39,jesień,осінь,0,1
39,39,40,tak,так,0,1
40,40,41,dziękuję,дякую,0,1
41,41,42,przepraszam,перепрошую,0,1
42,42,43,dobranoc,добраніч,0,1
43,43,44,ja,я,0,1
44,44,45,my,ми,0,1
45,45,46,ty,ти,0,0
46,46,47,wy,ви,0,1
47,47,48,oni,вони,0,1
48,48,49,dobrze,добре,0,1
49,49,50,syn,син,0,1
50,50,51,pociąg,потяг,0,1
51,51,52,autobus,автобус,0,1
52,52,53,metro,метро,0,1
53,53,54,paszport,паспорт,0,1
54,54,55,daleko,далеко,0,1
55,55,56,blisko,близько,0,1
56,56,57,jeden,один,0,1
57,57,58,dwa,два,0,1
58,58,59,trzy,три,0,1
59,59,60,cztery,чотири,0,1
60,60,61,pięć,п’ять,0,1
61,61,62,sześć,шість,0,1
62,62,63,siedem,сім,0,1
63,63,64,osiem,вісім,0,1
64,64,65,dziewięć,дев’ять,0,1
65,65,66,dziesięć,десять,0,1
66,66,67,jedenaście,одинадцять,0,1
67,67,68,dwanaście,дванадцять,0,1
68,68,69,trzynaście,тринадцять,0,1
69,69,70,czternaście,чотирнадцять,0,1
70,70,71,piętnaście,п’ятнадцять,0,1
71,71,72,szesnaście,шістнадцять,0,1
72,72,73,siedemnaście,сімнадцять,0,1
73,73,74,osiemnaście,вісімнадцять,0,1
74,74,75,dziewiętnaście,дев’ятнадцять,0,1
75,75,76,dwadzieścia,двадцять,0,1
76,76,77,trzydzieści,тридцять,0,1
77,77,78,pięćdziesiąt,п’ятдесят,0,1
78,78,79,sześćdziesiąt,шістдесят,0,1
79,79,80,siedemdziesiąt,сімдесят,0,1
80,80,81,osiemdziesiąt,вісімдесят,0,1
81,81,82,sto,сто,0,1
82,82,83,dwieście,двісті,0,1
83,83,84,trzysta,триста,0,1
84,84,85,czterysta,чотириста,0,1
85,85,86,pięćset,п’ятсот,0,0
86,86,87,tysiąc,тисяча,0,1
87,87,88,milion,мільйон,0,1
88,88,89,mleko,молоко,0,1
89,89,90,słońce,сонце,0,1
90,90,91,rzeka,ріка,0,1
91,91,92,drzewo,дерево,0,1
92,92,93,woda,вода,0,1
93,93,94,chleb,хліб,0,1
94,94,95,noc,ніч,0,1
95,95,96,kot,кіт,0,1
96,96,97,most,міст,0,1
97,97,98,szkoła,школа,0,1
98,98,99,stół,стіл,0,1
99,99,100,ulica,вулиця,0,1
100,100,101,miasto,місто ,0,1
101,101,102,dom,дім ,0,1
102,102,103,ręka,рука ,0,1
103,103,104,kwiat,квітка ,0,0
104,104,105,muzyka,музика ,0,1
105,105,106,hotel,готель,0,1
106,106,107,być,бути,0,1
107,107,108,robić,робити,0,1
108,108,109,mówić,мовити,0,1
109,109,110,chodzić,ходити,0,1
110,110,111,jeść,їсти,0,1
111,111,112,pić,пити,0,1
112,112,113,pisać,писати,0,1
113,113,114,czytać,читати,0,1
114,114,115,rozumieć,розуміти,0,1
115,115,116,uczyć się,вчитися,0,0
116,116,117,pracować,працювати,0,1
117,117,118,słuchać,слухати,0,1
118,118,119,znać,знати,0,1
119,119,120,kupować,купувати,0,1
120,120,121,sprzedawać,продавати,0,1
121,121,122,rozpoczynać,розпочинати,0,1
122,122,123,podróżować,подорожувати,0,1
123,123,124,zapraszać,запрошувати,0,1
124,124,125,odpowiadać,відповідати,0,1
125,125,126,pytać,питати,0,1
126,126,127,przychodzić,приходити,0,1
127,127,128,odwiedzać,відвідувати),0,1
128,128,129,szukać,шукати,0,1
129,129,130,dzwonić,дзвонити,0,1
130,130,131,śpiewać,співати,0,1
131,131,132,tańczyć,танцювати,0,1
132,132,133,gotować,готувати,0,1
133,133,134,grać,грати,0,1
134,134,135,śmiać się,сміятися,0,1
135,135,136,myć,мити,0,1
136,136,137,farbować,фарбувати,0,1
137,137,138,budować,будувати,0,1
138,138,139,chodzić,ходити,0,1
139,139,140,spać,спати,0,1
140,140,141,wstawać,вставати,0,1
141,141,142,siedzieć,сидіти,0,1
142,142,143,mały,малий,0,1
143,143,144,nowy,новий,0,1
144,144,145,stary,старий,0,1
145,145,146,świeży,свіжий,0,1
146,146,147,gorący,гарячий,0,1
147,147,148,wysoki,високий,0,1
148,148,149,niski,низький,0,1
149,149,150,silny,сильний,0,1
150,150,151,słaby,слабкий,0,1
151,151,152,powolny,повільний,0,1
152,152,153,szczęśliwy,щасливий,0,1
153,153,154,dobry,добрий,0,1
154,154,155,ciepły,теплий,0,1
155,155,156,ciężki,тяжкий,0,1
156,156,157,jasny,ясний,0,1
157,157,158,ciemny,темний,0,1
158,158,159,cienki,тонкий,0,1
159,159,160,brudny,брудний,0,1
160,160,161,smaczny,смачний,0,1
161,161,162,zdrowy,здоровий,0,1
162,162,163,chory,хворий,0,1
163,163,164,młody,молодий,0,1
164,164,165,oko,око,0,1
165,165,166,serce,серце,0,1
166,166,167,książka,книга,0,1
167,167,168,strona,сторінка,0,1
168,168,169,nocleg,нічліг,0,1
169,169,170,dziecko,дитятко,0,1
170,170,171,wiek,вік,0,1
171,171,172,imię,ім'я,0,1
172,172,173,koń,кінь,0,1
173,173,174,głowa,голова,0,1
174,174,175,kamień,камінь,0,1
175,175,176,ból,біль,0,1
176,176,177,nadzieja,надія,0,1
177,177,178,włosy,волосся,0,1
178,178,179,krew,кров,0,1
179,179,180,różnica,різниця,0,1
180,180,181,rękaw,рукав,0,1
181,181,182,okno,вікно,0,1
182,182,183,przyjaciel,приятель,0,1
183,183,184,list,лист,0,1
184,184,185,świat,світ,0,1
185,185,186,słowo,слово,0,1
186,186,187,morze,море,0,1
187,187,188,góra,гора,0,1
188,188,189,las,ліс,0,1
189,189,190,pole,поле,0,1
190,190,191,dzwonek,дзвінок,0,1
191,191,192,telefon,телефон,0,1
192,192,193,przygoda,пригода,0,1
193,193,194,światło,світло,0,1
194,194,195,angielski ,ангельський,1,1
195,195,196,arbuz,гарбуз,1,1
196,196,197,bajka,байка,1,1
197,197,198,zwierzę,звірʼя,1,0
198,198,199,bęben,бубон,1,1
199,199,200,bidło,бидло,1,1
200,200,201,błąd,блуд,1,1
201,201,202,bohater,богатир,1,1
202,202,203,broń,броня,1,1
203,203,204,bufet,буфет,1,1
204,204,205,celnik,цільник,1,1
205,205,206,celować,цілувати,1,1
206,206,207,chwila,хвиля,1,1
207,207,208,ciąża,тяжа,1,1
208,208,209,cieśnina,тіснина,1,1
209,209,210,córka,цурка,1,1
210,210,211,chwast,хвіст,1,1
211,211,212,chwost,хвіст,1,1
212,212,213,czaszka,чашка,1,1
213,213,214,człowiek,чоловік,1,1
214,214,215,ćwiek,цвях,1,1
215,215,216,dynia,диня,1,1
216,216,217,dywan,диван,1,1
217,217,218,garbus,гарбуз,1,1
218,218,219,giez,ґедзь,1,1
219,219,220,gniot,гніт,1,1
220,220,221,gomółkaгомілка,грудка,1,0
221,221,222,graty,ґрати,1,1
222,222,223,gromada,громада,1,1
223,223,224,grzbiet,хребет,1,1
224,224,225,gwiazda,гвіздок,1,1
225,225,226,hutnictwo,гутництво,1,1
226,226,227,jętka,ятка,1,1
227,227,228,język,язик,1,1
228,228,229,kazać,казати,1,1
229,229,230,kit,кіт,1,1
230,230,231,kolejka,колія,1,1
231,231,232,kolejny,колійний,1,1
232,232,233,koleśnica,колісниця,1,1
233,233,234,kończyna,кончина,1,1
234,234,235,kraina,країна,1,1
235,235,236,kraj,край,1,1
236,236,237,krowa,кров,1,1
237,237,238,krzesło,крісло,1,1
238,238,239,król,кроль,1,1
239,239,240,kwas,квас,1,1
240,240,241,laska,ласка,1,1
241,241,242,leczyć,лічити,1,1
242,242,243,liczba,лічба,1,1
243,243,244,los,лось,1,1
