,Unnamed: 0,id,pl,uk,false_friends,predictions,similarity_values,cos_sim
0,0,1,śniadanie,сніданок,0,1,0.8235294117647058,0.6032542851094792
1,1,2,wegetarianin,вегетаріанський,0,1,0.8,0.6240889275047635
2,2,3,napój,напій,0,1,0.5454545454545454,0.6714146912791055
3,3,4,kawa,кава,0,1,1.0,0.5184153150606702
4,4,5,sok,сік,0,1,0.6666666666666666,0.5216504610692838
5,5,6,woda,вода,0,1,1.0,0.6940852510396331
6,6,7,piwo,пиво,0,1,1.0,0.6397438449251971
7,7,8,wino,вино,0,1,1.0,0.6600547919964398
8,8,9,sól,сіль,0,1,0.6666666666666666,0.48128269650765737
9,9,10,mięso,м’ясо,0,1,0.6,0.49
10,10,11,ryba,риба,0,1,0.75,0.5892063853121703
11,11,12,deser,десерт,0,1,0.9090909090909092,0.5765311877237809
12,12,13,czas,час,0,1,1.0,0.5138185866326893
13,13,14,godzina,година,0,1,0.9230769230769232,0.4115118661702752
14,14,15,rano,ранок,0,1,0.6666666666666666,0.529057147803609
15,15,16,dzień,день,0,1,0.75,0.6386812463079112
16,16,17,wczoraj,вчора,0,1,0.9230769230769232,0.5501479845158347
17,17,18,tydzień,тиждень,0,1,0.6153846153846154,0.7314606433482046
18,18,19,miesiąc,місяць,0,1,0.7692307692307693,0.6461511844745854
19,19,20,rok,рік,0,1,0.6666666666666666,0.5996340683716286
20,20,21,poniedziałek,понеділок,0,1,0.8571428571428571,0.655696036128502
21,21,22,wtorek,вівторок,0,1,0.8571428571428571,0.5785083765419882
22,22,23,środa,середа,0,1,0.7272727272727273,0.35071670079632206
23,23,24,czwartek,четвер,0,1,0.4,0.6195604503087994
24,24,25,piątek,п’ятниця,0,1,0.4285714285714285,0.49
25,25,26,sobota,субота,0,1,0.8333333333333334,0.5080636637712886
26,26,27,niedziela,неділя,0,1,0.8,0.571747270741346
27,27,28,styczeń,січень,0,1,0.7692307692307693,0.6710969902836826
28,28,29,luty,лютий,0,1,1.0,0.6142637807615475
29,29,30,kwiecień,квітень,0,1,0.4285714285714285,0.6102784971417164
30,30,31,czerwiec,червень,0,1,0.8,0.6534427648279324
31,31,32,lipiec,липень,0,1,0.7272727272727273,0.6564299468142527
32,32,33,sierpień,серпня,0,1,0.7142857142857143,0.5756896732111603
33,33,34,wrzesień,вересень,0,1,0.9333333333333332,0.6291771110969774
34,34,35,listopad,листопад,0,1,1.0,0.6791784342513817
35,35,36,grudzień,грудень,0,1,0.8571428571428571,0.646663854763939
36,36,37,wiosna,весна,0,1,0.7272727272727273,0.5905154822305841
37,37,38,lato,літо,0,1,0.75,0.584839494919862
38,38,39,jesień,осінь,0,1,0.6,0.5444538838095946
39,39,40,tak,так,0,1,1.0,0.6575146191687237
40,40,41,dziękuję,дякую,0,1,0.4615384615384615,0.6332250692464029
41,41,42,przepraszam,перепрошую,0,1,0.7272727272727273,0.6653534696709532
